,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
22,C3,PLD4,PIFO,SSTR3,VGLL3,MCEMP1,FGF14,SEMA3D,ASGR1,ADGRG3,IDO2,TPO,RPS25,LAT,PNOC,COL6A3,FRG2C,SPARCL1,LILRB5,P2RY2,SELL,LARGE2,SAA1,PZP
23,PRUNE2,RASD1,CD86,SKAP1,AOX1,NFE2,NPHS1,TSPEAR,CLEC5A,TREM1,ANPEP,CXCL5,TNFRSF17,CD3G,PAH,PDZRN3,TRIM10,ADGRL4,MMP9,SOWAHD,GIMAP4,ZNF860,ELF3,CCL5
24,TPM1,GUCY2D,HGF,PDE3B,ADAM33,OR52K1,SNAP91,EGFL7,OLR1,TGM3,FGL2,NTS,SNRPD2,CD3D,CNKSR1,FGF7,EEF1A2,ABCB1,SELENOP,AIFM3,ITM2A,GLYATL1B,CDH6,PTGDR
25,MUSK,KCNK17,CFTR,IL12RB2,PTH1R,SIGLEC5,SERPINE2,MMRN1,VENTX,CLCA2,LGALS2,BMP2,RPS15A,ESM1,ARGFX,FAP,MAGEB2,EMCN,MS4A6A,SLC8A1,VSIG1,OR2G6,XDH,NCR1
26,ASIC2,ZFAT,ZYG11A,TSHR,APLNR,DMRTC2,ABCB11,PARD6G,FMN1,KCNJ16,NALCN,IGLL1,FCRL4,FAM9C,WNT10B,NOX4,RYR2,PALMD,CMKLR1,AOAH,IL24,PARP15,ESRP1,NKG7
27,MFGE8,RHEX,RGS21,BTBD11,ID4,B3GNT8,SMOX,TIE1,SLC1A3,DPEP3,HTR7,C6orf141,AFF2,TCN1,OR10A2,INHBA,KSR2,PLVAP,SLC40A1,RTN1,VWA5B1,LY86,ERN2,CD244
28,LOXL1,FAM160A1,SIM1,GRAP2,NGF,GK,SCTR,RASSF9,MITF,NAMPT,LAD1,FABP4,MYBL1,FXYD2,OR6A2,COL8A1,CYP4Z1,MGP,CSF1R,ADGRE2,SBK1,CNR2,CAPN8,TOGARAM2
29,LGI2,DACH1,UGT2B17,IL2RA,RSPO1,SLC25A37,NGFR,ADAMTS7,MMP2,ACSL1,LRRC18,GPR182,RPL28,HAVCR2,OR2AG2,LUM,GRIN2A,ADAMTS1,CTSL,P2RX7,PPIAL4G,ABCB4,PIGR,STYK1
30,RRAD,DNASE1L3,ASCL1,RTKN2,BMP4,IL1R2,DSC3,TMEM255B,ST18,MXD1,ELAVL4,EGF,FCRL3,ZNF831,PDK1,ITGBL1,SLC35F4,CD34,MS4A4E,FGD2,SPINK2,GLYATL1,PAX1,SH2D1B
31,CYP27C1,SCN9A,TCF15,TNFSF8,MRGPRF,CLEC4E,GABRA5,EFCC1,NOS1AP,FCGR2A,PRIMA1,ANKRD1,RPS11,LCK,TP53INP1,STEAP2,ADAMTS16,NOS3,SDC3,RAB37,C9orf135,KCNH8,DSG3,CD7
